RateCodeID,Distance_Intervals,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,MaxTollPaidN1,freqMaxTollPaidN1,MaxTollPaidN2,freqMaxTollPaidN2,MaxTollPaidN3,freqMaxTollPaidN3,MaxTimeN1,freqMaxTimeN1,MaxTimeN2,freqMaxTimeN2,MaxTimeN3,freqMaxTimeN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,AvgTollPaid,AvgTime,RowEvaluated
FALSE,FIVE_TWENTY,2.0,1,1.0,4,0.0,0,10.8,1,10.4,1,7.85,1,0.0,5,0.0,0,0.0,0,5.2,1,3.0,1,0.0,3,42.8,1,38.3,1,31.2,1,0.0,5,0.0,0,0.0,0,750.0,1,53.0,1,37.0,1,1.2,8.072000122070312,1.6399999618530274,32.179998779296874,0.0,179.6,5
STANDARD_RATE,TWENTY_TWOHUNDRED,6.0,2437,5.0,4148,4.0,1590,181.04,1,178.44,1,153.1,1,14.5,1,12.05,1,4.5,10,300.0,1,200.5,1,177.6,1,8019.6,1,1004.8,1,801.67,1,910.5,1,734.37,1,169.12,1,2151.0,1,2148.0,1,2120.0,1,1.628205280473176,23.717203403921754,6.911384906825659,77.74899343207002,3.215697634713826,62.455811964796844,84197
JFK,TWENTY_TWOHUNDRED,6.0,6343,5.0,10272,4.0,4629,156.84,1,152.62,1,116.16,1,4.8,5,4.54,3,4.5,32648,200.0,1,190.0,1,180.0,1,818.56,2,723.12,1,263.06,1,765.76,2,576.0,1,178.56,1,2146.0,1,2138.0,1,2132.0,1,1.6659437225390297,21.918250444049733,7.884414438627653,66.16872955034121,4.788485965691315,68.42662896139105,213940
NEWARK,TWENTY_TWOHUNDRED,6.0,506,5.0,711,4.0,401,126.6,1,111.3,1,106.62,1,18.0,1,17.5,1,1.3,1,189.96,1,140.0,1,115.0,2,1006.55,1,399.56,1,349.32,1,918.25,1,159.0,1,107.4,1,2138.0,1,2102.0,1,1439.0,6,1.6559438868061434,24.672494784738177,12.59801007528117,116.9196622929012,16.630311630789695,66.63623170879187,16538
NASSAU_OR_WESTCHESTER,TWENTY_TWOHUNDRED,6.0,351,5.0,669,4.0,231,195.9,1,176.4,1,124.8,1,1.0,2090,0.5,4826,0.0,5638,250.0,2,144.44,1,124.0,1,943.81,1,916.8,1,607.3,1,95.7,1,95.5,1,89.26,1,2097.0,1,1439.0,1,1437.0,1,1.6283256332642981,28.37913712760873,12.974552433487334,126.50067707503584,4.065970320714514,64.50740799745101,12554
NEGOTIATED_FARE,TWENTY_TWOHUNDRED,9.0,8,8.0,11,7.0,6,189.6,1,168.77,1,166.53,1,0.3,1,0.0,17896,0.0,0,310.0,1,260.0,1,235.0,1,742.32,1,706.06,1,570.7,1,424.4,1,250.0,1,217.02,1,2141.0,1,2070.0,1,1439.0,2,1.3814047046991116,32.24487693468179,14.166536290998492,155.95397273286025,9.006060722467453,64.39643515673018,17897
FALSE,TWENTY_TWOHUNDRED,1.0,1,0.0,0,0.0,0,26.0,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,15.0,1,0.0,0,0.0,0,85.8,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,45.0,1,0.0,0,0.0,0,1.0,26.0,15.0,85.80000305175781,0.0,45.0,1
STANDARD_RATE,ZERO_TWO,192.0,1,9.0,4,8.0,1,1.99,68057,1.98,68718,1.97,69064,81.92,1,60.0,1,40.0,1,496.0,1,441.71,1,411.0,1,349116.78,1,234632.69,1,214750.23,1,980.8,1,911.61,1,860.92,1,5539.0,1,5538.0,1,5382.0,1,1.5897830125707515,1.0906545173337854,1.0802497452638662,9.428198486509894,0.0020059482269325,9.806626796970047,32016463
JFK,ZERO_TWO,6.0,1580,5.0,3627,4.0,1166,1.99,30,1.98,24,1.97,21,5.3,1,4.8,1,4.54,1,322.42,1,276.08,1,243.0,1,852.89,1,552.88,1,380.98,1,800.09,1,500.08,1,98.0,2,2132.0,1,2013.0,1,1439.0,8,1.5440499755777783,0.19472067284827374,6.556495668269108,60.785977788632096,3.112672602444793,4.6853261009280445,77798
NEWARK,ZERO_TWO,6.0,110,5.0,412,4.0,73,1.97,3,1.95,1,1.9,36,2.74,1,1.3,2,1.0,1242,210.0,1,180.0,1,150.0,1,241.3,1,204.8,1,200.8,1,160.0,1,130.0,1,97.0,1,1439.0,1,1438.0,1,1437.0,1,1.444620044778085,0.22804025333263367,0.8966693855565981,21.84608767944159,0.5179020381642632,4.627024891347293,7593
