Distance_Intervals,Fare_Amount_Intervals,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,MaxTollPaidN1,freqMaxTollPaidN1,MaxTollPaidN2,freqMaxTollPaidN2,MaxTollPaidN3,freqMaxTollPaidN3,MaxTimeN1,freqMaxTimeN1,MaxTimeN2,freqMaxTimeN2,MaxTimeN3,freqMaxTimeN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,AvgTollPaid,AvgTime,RowEvaluated
TWENTY_TWOHUNDRED,FOURTY_HUNDRED,9.0,8,8.0,11,7.0,6,156.84,1,152.62,1,137.9,1,18.0,1,17.5,1,12.05,1,300.0,1,200.5,1,200.0,1,1006.55,1,1004.8,1,818.56,2,918.25,1,910.5,1,765.76,2,2151.0,1,2148.0,1,2146.0,1,1.6554238233395788,22.35893077583452,7.852017445467249,71.5520638163213,4.827708778503976,66.26425120470226,319166
TWOHUNDRED_PLUS,FOURTY_HUNDRED,1.0,2,0.0,0,0.0,0,611.7,1,325.28,1,0.0,0,1.0,1,0.0,1,0.0,0,0.0,2,0.0,0,0.0,0,50.8,1,44.8,1,0.0,0,0.0,2,0.0,0,0.0,0,53.0,1,0.0,1,0.0,0,1.0,468.489990234375,0.0,47.79999923706055,0.0,26.5,2
ZERO_TWO,TEN_FIFTEEN,8.0,1,6.0,109833,5.0,177248,1.99,36071,1.98,36094,1.97,35667,1.8,5,1.5,3,1.45,1,222.7,1,220.0,2,200.8,1,233.5,1,232.8,2,223.74,1,209.94,1,99.0,1,57.6,1,2157.0,1,2156.0,2,2155.0,3,1.5926650377797327,1.5531620190164013,1.5922300737518227,13.881738992460122,0.0011087077580023965,18.127818416263963,3983088
TWO_FIVE,TEN_FIFTEEN,9.0,1,8.0,1,7.0,3,4.99,2,4.98,4,4.97,5,1.8,9,1.6,1,1.5,2,411.5,1,322.0,1,250.0,1,811.56,1,570.13,1,493.56,1,795.76,1,556.33,1,400.0,1,2157.0,6,2156.0,2,2155.0,4,1.6091273744692642,2.6982863992547164,1.7814153438744533,15.124700341518238,0.01902571300696181,17.261919226404743,8087123
FIVE_TWENTY,TEN_FIFTEEN,5.0,3,4.0,4,3.0,5,19.55,1,19.5,1,19.3,2,1.0,9,0.5,18,0.0,113,17.0,1,10.0,1,5.55,1,38.06,1,36.3,1,29.3,1,25.0,1,18.5,1,11.64,1,205.0,1,97.0,1,58.0,1,1.3785714285714286,9.765142822265625,1.3935716901506696,14.4692138671875,0.8584286281040736,14.928571428571429,140
ZERO_TWO,HUNDRED_THREEHUNDRED,9.0,1,7.0,1,6.0,5,1.98,1,1.97,1,1.94,1,25.0,1,1.0,10,0.5,18,250.0,1,180.0,1,100.0,8,436.3,1,411.6,1,385.55,1,100.5,1,96.5,1,70.0,1,2105.0,1,2092.0,1,2014.0,1,1.32281711051313,0.08147815606296975,12.684517664934583,161.87234388048623,1.8083750043495408,8.194952213046303,10777
TWENTY_TWOHUNDRED,TEN_FIFTEEN,4.0,2,2.0,2,1.0,18,102.8,1,62.3,1,39.2,1,0.5,2,0.0,20,0.0,0,3.2,1,3.05,1,2.8,1,20.8,1,17.74,1,17.41,1,10.5,1,0.0,21,0.0,0,122.0,1,87.0,1,84.0,1,1.3636363636363635,30.10818204012784,1.0904545350508257,13.393182927911932,0.4772727272727273,-3.227272727272727,22
TWO_FIVE,HUNDRED_THREEHUNDRED,5.0,6,4.0,10,3.0,22,4.99,1,4.94,1,4.91,1,3.6,1,3.5,1,3.3,1,100.0,1,63.24,1,60.24,1,334.55,1,298.13,1,295.3,2,38.18,1,38.0,2,30.0,1,1435.0,1,756.0,1,410.0,1,1.387409200968523,3.330314876380902,11.619466934019371,152.06224462772397,3.534697525726392,9.864406779661017,413
TWOHUNDRED_PLUS,TEN_FIFTEEN,1.0,1,0.0,0,0.0,0,943.5,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,14.3,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,1.0,943.5,0.0,14.300000190734863,0.0,0.0,1
FIVE_TWENTY,HUNDRED_THREEHUNDRED,6.0,21,5.0,56,4.0,136,19.99,2,19.98,4,19.97,7,1.0,175,0.5,30,0.0,4208,150.0,1,141.14,1,75.0,1,355.86,1,343.56,1,343.55,2,95.76,1,43.0,1,42.0,1,1954.0,1,1438.0,1,1437.0,1,1.4099252209381372,15.15993761330161,13.545689758950827,139.66772886924994,7.61639438873782,53.429639700883754,4413
