Time_intervals,Fare_Amount_Intervals,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,MaxTollPaidN1,freqMaxTollPaidN1,MaxTollPaidN2,freqMaxTollPaidN2,MaxTollPaidN3,freqMaxTollPaidN3,MaxTimeN1,freqMaxTimeN1,MaxTimeN2,freqMaxTimeN2,MaxTimeN3,freqMaxTimeN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,AvgTollPaid,AvgTime,RowEvaluated
MORNING,TEN_FIFTEEN,6.0,96066,5.0,143729,4.0,49419,943.5,1,102.8,1,62.3,1,1.5,1,1.0,2177,0.8,16,322.0,1,222.7,1,220.0,2,570.13,1,493.56,1,376.56,1,556.33,1,400.0,1,300.0,1,1964.0,1,1439.0,102,1438.0,323,1.565236965797805,2.2571917838772,1.6783182603730684,14.379982615965783,0.011828277669879867,-21.11196133709223,3138512
AFTERNOON,TEN_FIFTEEN,8.0,2,7.0,2,6.0,130802,39.2,1,22.4,1,21.8,1,1.8,13,1.6,1,1.5,3,411.5,1,250.0,1,222.82,1,811.56,1,422.3,1,266.42,1,795.76,1,230.4,1,209.94,1,1439.0,304,1438.0,991,1437.0,810,1.6056834914249278,2.137197662150703,1.6887039693808463,14.784535289593563,0.009786850712110605,18.169902449926706,4868064
NIGHT,TEN_FIFTEEN,9.0,1,7.0,1,6.0,104666,27.82,1,25.4,1,24.26,1,1.8,1,1.5,1,1.3,11,219.35,1,200.0,4,191.7,1,233.65,1,212.8,1,212.3,1,95.76,1,95.75,1,95.54,1,2157.0,7,2156.0,4,2155.0,7,1.6310050351912178,2.58945178869619,1.7865971684616213,14.907778388591165,0.018122015645831806,46.65927194215854,4063798
MORNING,HUNDRED_THREEHUNDRED,6.0,79,5.0,137,4.0,232,189.6,1,152.9,1,150.91,1,1.0,1,0.5,265,0.3,2,250.0,1,222.0,1,150.0,1,471.06,1,436.3,1,415.58,1,217.02,1,133.02,1,125.86,1,1438.0,1,1437.0,1,1436.0,1,1.4338810198300282,23.64186437677054,13.77375973796034,162.71603399433428,7.473743803116148,-27.177903682719545,8825
AFTERNOON,HUNDRED_THREEHUNDRED,7.0,1,6.0,147,5.0,305,142.0,1,124.93,1,118.9,1,14.5,1,3.6,1,3.5,1,176.0,1,150.04,1,141.14,1,570.7,1,411.6,1,380.3,1,424.4,1,100.5,1,99.0,1,1439.0,1,1438.0,3,1437.0,3,1.4490987879168498,22.568081548703134,14.758741286189789,161.38405137222884,8.219566919707342,60.500785027946996,15923
NIGHT,HUNDRED_THREEHUNDRED,9.0,1,6.0,88,5.0,261,302.8,1,211.6,1,168.77,1,25.0,1,3.3,1,1.0,19,250.0,2,180.0,1,177.6,1,411.85,1,405.7,1,390.82,1,180.76,1,159.0,1,155.0,1,2105.0,1,2102.0,1,2092.0,1,1.3780298426844912,21.01036602862737,14.360822403956519,160.8603571669705,5.756435778306664,88.78225643103099,14811
MORNING,ZERO_TWO,8.0,2,7.0,1,6.0,322,547.2,1,119.92,1,109.2,1,26.0,1,0.5,14,0.15,2,310.0,1,217.0,1,175.0,1,234632.69,1,200006.3,1,6023.8,1,160.0,2,129.25,1,122.0,1,4615.0,1,1437.0,3,1436.0,1,1.643583042973287,1.423903834113676,0.4646573127631388,29.599897466608596,0.5043597603508819,-2.0865998838559814,13776
AFTERNOON,ZERO_TWO,9.0,2,8.0,2,6.0,571,484.91,1,301.9,1,251.64,1,81.92,1,4.5,7,3.07,1,277.88,1,260.0,2,242.0,1,349116.78,1,214750.23,1,8016.8,1,250.0,1,159.0,1,150.0,1,5538.0,1,5382.0,1,3862.0,1,1.6098836315168914,1.427370523241657,0.6023648461930333,28.185353334700363,0.47727273182383245,9.438611780386529,19507
NIGHT,ZERO_TWO,9.0,3,8.0,5,7.0,3,149.3,1,134.9,1,116.4,1,0.8,1,0.5,102,0.21,1,400.0,1,389.0,1,250.0,2,8019.6,1,8017.3,1,3008.3,1,280.0,2,170.55,1,150.0,1,5090.0,1,1439.0,5,1438.0,12,1.5973027989821882,1.5820437738549618,0.7514147980279898,-2.925953005725191,0.5805078621978371,14.914351145038168,19650
MORNING,FIFTEEN_TWENTYFIVE,9.0,1,6.0,56399,5.0,84048,833.1,1,54.5,1,48.2,1,69.8,2,18.0,1,1.0,1136,282.0,1,276.0,1,200.0,1,791.06,1,521.34,1,481.85,1,765.76,1,500.04,1,403.2,1,1439.0,73,1438.0,264,1437.0,218,1.5838174659594246,4.27564089243725,2.4201145622573415,21.965986766555478,0.1397773691693553,-32.497691256083556,1828700
