Payment_type,Time_intervals,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,RowEvaluated
CREDIT_CARD,MORNING,9.0,29,8.0,34,7.0,36,833.1,1,213.44,1,204.54,1,26.0,1,17.5,1,9.46,1,422.0,1,415.0,1,400.0,1,684.35,1,600.44,1,514.3,1,1.5555730927442024,2.9222384243429365,2.5671728552010045,16.781404382681895,10111845
CASH,MORNING,9.0,4,8.0,6,7.0,10,189483.84,1,943.5,1,547.2,1,18.0,1,4.5,46,4.0,1,6.56,1,6.05,1,2.95,1,234632.69,1,4026.3,1,2310.3,1,1.5919160834765658,2.544310838975274,5.912223548303444E-6,12.56008857313252,4264047
NO_CHARGE,MORNING,6.0,225,5.0,533,4.0,1030,189.6,1,152.9,1,124.1,1,69.8,2,19.0,1,1.0,41,166.02,1,47.45,1,13.81,1,200006.3,1,6023.8,1,4010.3,1,1.2062803165688027,2.6047756573908605,0.004368281440863632,15.579115607182368,70506
DISPUTE,MORNING,6.0,104,5.0,235,4.0,398,62.3,1,61.5,1,54.6,1,17.9,1,1.0,7,0.5,2394,8.56,1,7.58,1,6.98,1,818.56,1,791.06,1,710.81,1,1.232769896367844,2.7991865614624207,-0.0032000205372646187,12.703044037378007,19878
CREDIT_CARD,AFTERNOON,9.0,50,8.0,41,7.0,44,830.8,1,801.4,1,606.0,1,17.5,4,12.35,1,6.52,3,411.5,1,411.0,1,355.5,1,5150.0,1,499.56,1,499.31,1,1.5868149577211708,2.9428665642630154,2.750923769042363,17.918541832914364,14535289
CASH,AFTERNOON,9.0,8,8.0,12,7.0,13,611.7,1,484.91,1,301.9,1,81.92,1,66.66,7,14.5,1,9.0,1,3.7,1,3.1,1,349116.78,1,8016.8,1,5726.3,1,1.6412374920652582,2.4839592857246275,4.325339151371878E-6,13.409763714244129,6561335
NO_CHARGE,AFTERNOON,8.0,1,6.0,503,5.0,742,140.8,1,105.1,1,87.1,1,96.64,1,10.6,1,4.5,2247,9.31,1,8.01,1,7.92,1,214750.23,1,2759.37,1,2020.83,1,1.2723536001270166,2.642788940734403,2.976951104833288E-4,15.413751091548985,113371
DISPUTE,AFTERNOON,6.0,206,5.0,275,4.0,630,65.1,1,59.6,1,52.4,1,40.0,1,4.5,520,3.5,1,11.7,1,10.02,1,9.72,1,930.3,1,680.8,1,641.3,1,1.2921686746987953,2.774942730895492,-0.008105794809273523,13.483688616826859,29548
CREDIT_CARD,NIGHT,192.0,1,9.0,42,8.0,54,325.28,1,211.6,2,168.77,1,30.5,1,20.2,1,18.0,2,496.0,1,441.71,1,441.11,1,723.12,1,593.76,1,506.57,1,1.615828328959698,3.226997087923535,2.68714107891396,17.458253478502733,12921364
CASH,NIGHT,9.0,11,8.0,15,7.0,16,1061.2,1,910.8,1,302.8,1,25.0,1,15.55,1,12.05,1,2.75,1,1.7,1,1.6,1,8019.6,1,3006.8,1,2000.8,1,1.661091600723189,2.7585302223152497,2.4626035378520613E-6,13.091524891252748,5169326
NO_CHARGE,NIGHT,7.0,1,6.0,318,5.0,718,252.1,1,121.7,1,87.5,1,60.0,1,4.5,1,3.3,1,11.44,1,11.0,1,8.78,1,8017.3,1,3008.3,1,2000.8,1,1.2672213240802808,2.929481721442372,-0.004281080369387914,12.914514411892275,101444
DISPUTE,NIGHT,8.0,2,7.0,1,6.0,205,64.2,1,63.5,1,55.7,1,4.5,2,3.0,1,1.0,60,11.22,1,7.01,1,6.66,1,1124.8,1,960.2,1,868.3,1,1.3288100208768268,3.0345747133935643,-0.0034180406995128927,12.391854438125405,27782
