FROM,Time_intervals,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,RowEvaluated
Bronx,MORNING,8.0,1,7.0,1,6.0,866,118.15,1,82.92,1,76.76,1,1.0,2,0.5,3206,0.3,2,180.0,1,100.0,1,80.3,1,507.3,1,485.58,1,481.85,1,1.6245201974044965,5.223771505437763,0.7653402957069092,22.268405284682874,21884
EWR,MORNING,9.0,8,8.0,5,7.0,2,48.2,1,42.7,1,40.9,1,0.5,28,0.0,1154,0.0,0,175.0,1,110.0,2,103.26,1,266.16,1,250.3,1,240.96,1,1.461082910321489,2.2053216459787435,10.87174313927665,89.19344860406092,1182
Staten Island,MORNING,8.0,1,6.0,5,5.0,3,45.5,1,38.8,1,38.4,1,0.5,69,0.0,213,0.0,0,99.0,1,93.0,1,30.0,1,180.3,1,167.09,1,158.76,1,1.322695035460993,5.87070935837766,2.6826593926612365,42.175185616134755,282
Queens,MORNING,9.0,3,8.0,5,7.0,3,189483.84,1,213.44,1,204.54,1,69.8,2,4.5,79,1.5,2,322.0,1,258.2,1,222.0,1,3031.29,1,2310.3,1,2020.5,2,1.5951537738000228,10.431762579333409,4.817803046497929,41.82831205107741,842016
Unknown,MORNING,9.0,6,8.0,10,7.0,12,181.04,1,135.5,1,124.1,2,26.0,1,4.5,1,1.7,1,375.0,1,310.0,1,250.25,1,3014.3,1,2000.8,1,879.3,1,1.3796461762503502,2.513649398885515,2.0434455666371125,17.827305344107607,217679
Manhattan,MORNING,9.0,15,8.0,18,7.0,28,943.5,1,833.1,1,547.2,1,19.0,1,18.0,1,17.9,1,422.0,1,415.0,1,400.0,1,234632.69,1,200006.3,1,6023.8,1,1.5650580877474882,2.303404639518006,1.5963256369230676,13.740813959700215,13196845
Brooklyn,NIGHT,9.0,1,8.0,1,7.0,1,126.5,1,123.3,1,81.3,1,1.5,1,1.3,1,1.0,463,260.2,1,226.0,1,150.0,2,742.32,1,510.3,1,498.3,3,1.6159891237365556,3.281318095764483,1.6922436740424505,16.28384538171746,314814
Bronx,NIGHT,6.0,417,5.0,765,4.0,332,66.5,1,61.86,1,61.37,1,1.0,23,0.8,1,0.5,13176,135.0,1,120.0,1,100.0,2,490.8,1,482.17,1,480.8,1,1.5831381733021077,4.1022666711703595,0.9343403192180088,19.62442014952261,16653
EWR,NIGHT,9.0,1,8.0,2,6.0,2,43.3,1,39.27,1,35.0,2,0.5,48,0.0,475,0.0,0,146.0,1,132.0,1,115.0,1,656.15,1,329.25,1,288.35,1,1.4818355640535372,2.1009563497102057,11.087877554373804,94.04551565487571,523
Staten Island,NIGHT,6.0,5,5.0,9,4.0,4,79.56,1,72.28,1,49.9,1,0.5,176,0.0,139,0.0,0,75.0,1,71.2,1,55.66,1,498.3,1,495.3,1,461.3,1,1.501577287066246,6.208675155880323,4.222649318562697,50.85192601537855,317
Queens,NIGHT,9.0,8,8.0,13,7.0,10,910.8,1,267.7,1,252.1,1,4.5,423,3.5,1,3.0,1,294.7,1,270.0,1,235.0,1,3006.8,1,1124.8,1,960.03,1,1.621621763136606,11.3226238566857,5.1635686677993995,42.97066849579501,1145901
Unknown,NIGHT,9.0,11,8.0,19,7.0,22,325.28,1,302.8,1,252.5,1,25.0,1,10.5,1,4.5,6,389.0,1,250.0,2,225.0,1,8017.3,1,2000.8,2,888.3,1,1.4359618470073152,2.7588161235825197,2.283482446360101,19.742713743779404,294184
Manhattan,NIGHT,192.0,1,9.0,32,8.0,36,1061.2,1,168.77,1,166.53,1,60.0,1,30.5,1,20.2,1,496.0,1,441.71,1,441.11,1,8019.6,1,3008.3,1,1213.8,1,1.6302692733568895,2.520002159595572,1.6767378482013462,14.267394411462783,16447524
Brooklyn,AFTERNOON,8.0,2,6.0,4716,5.0,7582,204.6,1,88.79,1,87.53,1,4.5,756,1.8,1,1.5,1,200.8,1,200.0,1,162.0,1,2759.37,3,725.3,1,512.92,1,1.5866005617452579,3.294022043829322,1.6575483831960116,17.56182633167155,181933
Bronx,AFTERNOON,9.0,1,6.0,549,5.0,716,110.29,1,96.99,1,84.77,1,4.5,45,1.3,1,1.0,6410,220.0,1,130.0,1,90.24,1,500.3,1,420.96,1,409.27,1,1.623342789324379,4.395996913535575,0.9513598037761246,21.175977320094947,17273
EWR,AFTERNOON,9.0,12,8.0,7,7.0,1,54.07,1,36.6,1,36.4,1,4.5,15,1.0,110,0.5,2,130.0,1,120.0,2,115.0,1,570.7,1,403.35,1,313.1,1,1.5188459748720335,1.7989202599682992,10.503599057701257,90.26639570730572,2149
Staten Island,AFTERNOON,6.0,12,5.0,9,3.0,22,124.93,1,55.1,1,42.55,1,4.5,2,1.0,60,0.0,154,144.0,1,75.0,1,47.12,1,300.8,1,248.3,1,240.8,1,1.8611111111111112,9.82360952871817,3.5390277438693576,49.6402271412037,216
Queens,AFTERNOON,9.0,10,8.0,13,7.0,4,611.7,1,484.91,1,251.64,1,96.64,1,66.66,1,6.52,2,330.0,1,260.0,2,200.0,1,2417.81,1,1420.8,1,1316.8,1,1.6378693172488534,11.568983371829537,5.547594443410581,47.5401823734825,1370265
Unknown,AFTERNOON,9.0,10,8.0,9,7.0,15,301.9,1,164.62,1,124.33,1,40.0,1,4.8,1,4.5,3771,277.88,1,276.08,1,260.0,1,8016.8,1,5726.3,1,5150.0,1,1.4032268138407205,2.5259194119851465,2.1174796514268843,18.657874266117034,352236
