FOUR,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,MaxTollPaidN1,freqMaxTollPaidN1,MaxTollPaidN2,freqMaxTollPaidN2,MaxTollPaidN3,freqMaxTollPaidN3,MaxTimeN1,freqMaxTimeN1,MaxTimeN2,freqMaxTimeN2,MaxTimeN3,freqMaxTimeN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,AvgTollPaid,AvgTime,RowEvaluated
null,1.0,78,0.0,0,0.0,0,27.49,1,27.22,1,27.02,1,1.0,18,0.5,20,0.0,40,15.06,1,14.94,1,13.57,1,90.36,1,86.6,1,85.3,1,28.8,1,5.76,7,5.54,3,98.0,1,80.0,1,76.0,1,1.0,10.175640399639423,4.694615290715144,40.99769318409455,1.099230741843199,-19.666666666666668,78
EWR,1.0,13,0.0,0,0.0,0,21.29,1,19.19,1,12.92,1,1.0,1,0.5,3,0.0,9,8.37,1,8.06,1,4.36,1,76.34,1,58.06,1,50.21,1,5.76,1,5.54,1,2.54,1,70.0,1,50.0,1,35.0,2,1.0,6.431538508488582,1.726923135610727,25.130770169771633,1.0646153963529146,18.153846153846153,13
Queens,1.0,8,0.0,0,0.0,0,31.21,1,21.49,1,18.39,1,18.0,2,17.5,6,0.0,0,22.77,1,18.92,1,18.62,1,120.11,1,113.87,1,113.52,1,16.5,1,12.5,3,10.5,4,775.0,1,78.0,1,76.0,1,1.0,18.78499984741211,13.709999084472656,102.43499755859375,12.0,142.875,8
Bronx,1.0,1,0.0,0,0.0,0,30.42,1,0.0,0,0.0,0,1.0,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,137.8,1,0.0,0,0.0,0,25.0,1,0.0,0,0.0,0,133.0,1,0.0,0,0.0,0,1.0,30.420000076293945,0.0,137.8000030517578,25.0,133.0,1
Manhattan,3.0,1,2.0,2,1.0,148,33.97,1,19.23,1,19.18,1,4.5,3,1.0,19,0.5,22,20.0,1,15.77,1,15.0,1,108.56,1,78.83,1,73.2,1,32.52,1,10.5,4,5.76,24,763.0,1,744.0,1,95.0,1,1.0264900662251655,6.096820755510141,3.1300000323365067,27.113045193501655,1.8859604589197019,16.192052980132452,151
Staten Island,1.0,7,0.0,0,0.0,0,23.29,1,21.91,1,15.38,1,0.5,1,0.0,6,0.0,0,20.0,1,14.66,1,8.56,1,187.06,1,134.06,1,90.9,1,16.26,2,10.5,1,0.0,4,98.0,1,54.0,1,26.0,1,1.0,13.824285234723773,7.188571384974888,87.13428606305804,6.145714351109096,37.285714285714285,7
Staten Island,1.0,1970,0.0,0,0.0,0,27.56,1,24.57,1,22.8,1,4.5,7,1.0,630,0.5,216,20.0,1,18.92,1,17.57,3,81.98,1,76.13,3,75.84,1,5.76,75,5.54,43,0.0,1852,797.0,1,782.0,1,774.0,1,1.0,2.801172370717005,2.119715656725888,16.687607074873096,0.34021324506265865,20.193908629441623,1970
null,8.0,2,6.0,451,5.0,598,204.6,1,89.2,1,81.3,1,4.5,137,1.5,3,1.0,125536,256.94,1,250.0,2,200.0,1,3006.8,1,2759.37,2,902.06,1,877.76,1,805.75,1,770.76,1,877.0,1,856.0,1,849.0,1,1.2222780226667032,6.490501381061001,3.261525634560076,27.862651426111654,0.32755669049673886,25.44376264741692,947822
EWR,6.0,71,5.0,149,4.0,2021,76.2,1,67.7,1,62.4,1,4.5,47,1.0,14269,0.5,69560,135.0,1,107.04,1,100.0,2,801.67,1,507.3,1,500.3,1,734.37,1,100.0,1,82.75,1,830.0,1,820.0,2,813.0,1,1.2363219005593813,8.939399426504126,2.1156131372898606,32.871216004397795,1.1701553713237205,25.769442772986263,134613
Queens,9.0,1,6.0,16,5.0,40,57.5,1,54.5,1,52.2,1,20.2,1,4.5,15,2.74,4,175.0,1,146.0,1,137.68,1,1006.55,1,983.8,1,903.8,1,918.25,1,910.5,1,831.5,1,845.0,1,829.0,1,818.0,1,1.3806405008427642,17.087341981699975,11.093763544425716,96.44061521791475,14.509733927281482,48.98054418492656,41530
Bronx,6.0,4,5.0,7,4.0,88,68.8,1,47.9,1,47.1,1,12.05,1,1.0,448,0.5,2588,110.0,1,99.0,1,86.58,1,498.3,1,495.3,1,241.42,1,169.12,1,101.52,1,91.04,1,804.0,1,798.0,1,796.0,1,1.2702272727272728,19.75109375,7.198086825284091,78.48325284090909,13.328050426136363,43.32568181818182,4400
Manhattan,9.0,6,7.0,1,6.0,736,910.8,1,152.9,1,140.8,1,69.8,2,66.66,1,17.9,1,300.0,1,270.0,1,200.0,2,3031.29,1,2020.5,2,1702.8,1,1650.0,1,887.26,1,805.76,1,988.0,1,984.0,1,922.0,1,1.250128925681715,8.397303557974439,3.928926617654629,34.877419052922704,1.979092044981258,19.00314756491911,1068445
Staten Island,9.0,1,8.0,1,7.0,1,547.2,1,302.8,1,301.9,1,81.92,1,40.0,1,26.0,1,389.0,1,375.0,1,310.0,1,349116.78,1,234632.69,1,8017.3,1,912.5,1,910.9,1,910.5,3,958.0,1,883.0,1,880.0,1,1.226988025790605,3.540010404939788,2.2761287653941937,22.364266707604134,0.7328233207109474,14.410693207791764,586260
Staten Island,9.0,8,8.0,2,7.0,16,1061.2,1,943.5,1,833.1,1,96.64,1,66.66,6,60.0,1,400.0,1,300.0,1,200.0,2,214750.23,1,200006.3,1,8019.6,1,980.8,1,950.7,1,918.23,1,1964.0,1,1519.0,1,1297.0,1,1.2315400427141439,2.2155150071238774,1.6105467748219904,13.78549004297623,0.17335184984935897,12.216531705477028,20603948
null,9.0,3,8.0,4,7.0,3,166.53,1,69.96,1,65.51,1,4.5,201,2.8,1,1.8,2,400.0,1,330.0,1,222.22,1,480.96,1,480.3,1,433.8,1,60.76,1,49.0,1,37.5,1,2156.0,1,2155.0,1,2151.0,3,1.8748159179035133,7.013877650894778,3.353088225801367,29.338478374763376,0.3664856870071441,33.28023262272515,1332286
EWR,8.0,1,7.0,1,6.0,9722,325.28,1,118.15,1,110.29,1,4.5,56,1.3,6,1.0,24188,200.0,2,180.0,1,120.0,2,490.8,1,485.58,1,480.8,1,30.0,1,25.0,3,22.28,1,2155.0,1,2153.0,1,2152.0,1,1.8757917201006353,9.265688784250766,1.9209979283120087,34.01102045011796,1.244568090376012,35.88083327622833,204302
Queens,9.0,34,8.0,17,7.0,9,56.66,1,53.59,1,51.03,1,4.5,9,1.3,3,1.0,7096,415.0,1,217.0,1,189.96,1,485.04,1,362.06,1,352.27,1,82.5,1,74.01,1,74.0,1,2147.0,1,2140.0,1,2138.0,1,1.849338146811071,17.34784253051401,11.955214242736806,99.11434588275743,13.961509369090596,56.68255114320096,58170
Bronx,8.0,1,6.0,310,5.0,549,109.38,1,72.28,1,64.29,1,4.5,1,1.0,916,0.8,2,93.0,1,71.2,1,60.0,1,457.26,1,375.3,1,300.8,2,47.0,1,37.5,1,34.56,1,1439.0,2,1438.0,4,1437.0,3,1.8499050956343992,20.142564151700977,7.358652951160753,80.27615345305884,12.833952721200175,53.537596729449554,6849
Manhattan,9.0,2,8.0,9,7.0,23,189483.84,1,251.64,1,178.44,1,25.0,1,5.3,1,4.8,3,362.7,1,355.0,1,353.44,1,2310.3,1,1420.8,1,1316.8,1,159.0,1,77.26,1,75.76,1,8852.0,1,5697.0,1,5539.0,1,1.859713713341403,8.675090651706185,4.023552236494567,35.575114013671715,1.990405710643857,35.46479788590757,1511003
Staten Island,9.0,36,8.0,52,7.0,49,484.91,1,239.57,1,222.96,1,4.8,1,4.5,991,4.0,6,276.08,1,250.25,1,250.0,3,5726.3,1,2694.8,1,2417.81,1,143.0,1,103.32,1,98.0,1,7041.0,1,5382.0,1,5090.0,1,1.811502171426992,5.846679461444647,3.7949875795067043,35.83227324394264,1.501712784298009,27.239116089289354,289441
Staten Island,192.0,1,9.0,53,8.0,76,156.84,1,128.73,1,124.33,1,5.3,1,4.8,21,4.5,93165,496.0,1,441.71,1,441.11,1,4026.3,1,512.8,1,499.8,1,244.0,1,99.0,3,95.0,2,2158.0,9,2157.0,16,2156.0,23,1.8839086698607872,2.373013658878802,1.6693584735383131,14.204778739106372,0.2116512787182104,16.73464959915514,27134438
