FOUR,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,MaxTollPaidN1,freqMaxTollPaidN1,MaxTollPaidN2,freqMaxTollPaidN2,MaxTollPaidN3,freqMaxTollPaidN3,MaxTimeN1,freqMaxTimeN1,MaxTimeN2,freqMaxTimeN2,MaxTimeN3,freqMaxTimeN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,AvgTollPaid,AvgTime,RowEvaluated
null,1.0,8,0.0,0,0.0,0,7.14,1,6.09,1,2.63,1,1.0,4,0.0,4,0.0,0,3.08,1,3.0,1,2.86,1,32.3,1,25.8,1,17.16,1,0.0,8,0.0,0,0.0,0,37.0,1,29.0,1,17.0,1,1.0,2.6725001335144043,1.375,15.112499237060547,0.0,14.25,8
EWR,1.0,7,0.0,0,0.0,0,0.0,7,0.0,0,0.0,0,0.0,7,0.0,0,0.0,0,0.66,1,0.0,6,0.0,0,3.96,1,3.3,5,0.81,1,0.0,7,0.0,0,0.0,0,0.0,7,0.0,0,0.0,0,1.0,0.0,0.09428571803229195,3.038571221487863,0.0,0.0,7
Manhattan,3.0,1,2.0,2,1.0,270,33.97,1,27.56,1,27.49,1,4.5,7,1.0,25,0.5,30,20.0,3,18.92,1,17.57,3,187.06,1,134.06,1,108.56,1,32.52,1,16.26,2,10.5,4,797.0,1,782.0,1,774.0,1,1.0146520146520146,11.709158761160714,5.731941642342033,45.67105940934066,2.9095975435697117,17.245421245421245,273
Staten Island,1.0,1,0.0,0,0.0,0,7.85,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,5.2,1,0.0,0,0.0,0,31.2,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,26.0,1,0.0,0,0.0,0,1.0,7.849999904632568,5.199999809265137,31.200000762939453,0.0,26.0,1
Staten Island,1.0,1939,0.0,0,0.0,0,31.21,1,30.42,1,21.49,1,18.0,2,17.5,6,4.5,3,22.77,1,18.92,1,18.62,1,137.8,1,120.11,1,113.87,1,28.8,1,25.0,1,16.5,1,775.0,1,767.0,1,763.0,1,1.0,2.2526453813982723,1.8645798917773337,15.172164090703971,0.21881382092795093,19.40072202166065,1939
null,8.0,1,6.0,89,5.0,187,204.6,1,189.6,1,126.5,1,4.5,290,1.5,2,1.0,33369,226.0,1,200.0,1,162.0,1,2759.37,3,742.32,1,725.3,1,575.99,1,507.62,1,500.08,1,836.0,1,835.0,1,834.0,1,1.2199371893981226,3.2834261544036445,1.7927518679251795,16.735051421866373,0.09022279483451823,14.451925731639978,289760
EWR,6.0,10,5.0,28,4.0,209,63.5,1,61.4,1,57.9,1,4.5,18,1.0,2366,0.5,6230,220.0,1,130.0,1,100.0,1,507.3,1,500.3,1,481.85,1,101.5,1,100.0,1,83.53,1,813.0,1,806.0,1,801.0,1,1.1726813518721033,3.4834352054366504,1.2276180398245067,17.426554444618027,0.41187935926352653,12.725980315575692,19203
Queens,6.0,1,5.0,3,4.0,43,48.2,1,43.3,1,42.7,1,4.5,11,1.0,61,0.5,50,175.0,1,146.0,1,132.0,1,656.15,1,570.7,1,403.35,1,424.4,1,177.5,1,111.11,1,748.0,1,734.0,1,732.0,1,1.3076505697232772,3.028539681395822,10.70859862486435,85.01851600651112,3.4878944401112317,2.76342919153554,1843
Bronx,4.0,4,3.0,3,2.0,32,55.1,1,49.9,1,45.5,1,1.0,9,0.5,108,0.0,204,99.0,1,75.0,2,55.66,1,498.3,1,495.3,1,236.82,1,91.04,1,33.5,1,25.0,1,736.0,1,112.0,1,98.0,1,1.1370716510903427,4.959812247493185,3.302460952711254,42.371464904595015,7.77134214977609,2.3551401869158877,321
Manhattan,9.0,5,8.0,1,6.0,1175,910.8,1,611.7,1,267.7,1,96.64,1,69.8,2,66.66,1,270.0,1,260.0,1,235.0,1,3031.29,1,3006.8,1,2020.5,2,918.23,1,900.87,1,780.0,1,1519.0,1,988.0,1,984.0,1,1.273197083756071,10.805168225535844,4.98923026492917,43.33526005405973,2.835937702020471,25.525908055872872,1314842
