Payment_type,Time_intervals,DayOfWeek,MaxPassengerCountN1,freqMaxPassengerCountN1,MaxPassengerCountN2,freqMaxPassengerCountN2,MaxPassengerCountN3,freqMaxPassengerCountN3,MaxTripDistanceN1,freqMaxTripDistanceN1,MaxTripDistanceN2,freqMaxTripDistanceN2,MaxTripDistanceN3,freqMaxTripDistanceN3,MaxExtraPaidN1,freqMaxExtraPaidN1,MaxExtraPaidN2,freqMaxExtraPaidN2,MaxExtraPaidN3,freqMaxExtraPaidN3,MaxTipPaidN1,freqMaxTipPaidN1,MaxTipPaidN2,freqMaxTipPaidN2,MaxTipPaidN3,freqMaxTipPaidN3,MaxTotalPaidN1,freqMaxTotalPaidN1,MaxTotalPaidN2,freqMaxTotalPaidN2,MaxTotalPaidN3,freqMaxTotalPaidN3,AvgPassengerCounter,AvgTripDistance,AvgTipPaid,AvgTotalPaid,RowEvaluated
CASH,AFTERNOON,WEEKDAY,9.0,4,8.0,9,7.0,10,611.7,1,484.91,1,270.4,1,66.66,7,14.5,1,5.3,2,9.0,1,3.7,1,3.1,1,5726.3,1,2759.37,8,2694.8,1,1.620840052896574,2.4573454076948966,3.9622901129727046E-6,13.616380107666622,4643779
CREDIT_CARD,MORNING,WEEKEND,9.0,5,8.0,15,7.0,7,135.5,1,124.1,2,118.54,1,4.5,2,1.0,590,0.5,199647,366.0,1,362.7,1,322.0,1,499.3,1,498.3,1,495.96,1,1.6189486292335789,3.1951917504478913,2.505745434767774,16.49849107221974,1963646
CASH,MORNING,WEEKEND,9.0,1,8.0,1,7.0,4,248.6,1,239.57,1,195.9,1,1.5,1,1.3,1,1.0,279,6.56,1,6.05,1,2.95,1,943.81,1,879.3,1,850.3,1,1.6441385939775772,2.785937632527687,1.7291871445358957E-5,12.477663299190402,1096469
NO_CHARGE,AFTERNOON,WEEKDAY,8.0,1,6.0,354,5.0,513,140.8,1,105.1,1,63.3,1,96.64,1,10.6,1,4.5,2247,9.31,1,8.01,1,5.76,1,214750.23,1,2759.37,1,2020.83,1,1.2469510719643808,2.628370494664376,-6.192228613290702E-4,16.48163686299182,82652
DISPUTE,AFTERNOON,WEEKDAY,6.0,146,5.0,188,4.0,380,65.1,1,59.6,1,52.4,1,40.0,1,4.5,520,3.5,1,11.7,1,10.02,1,9.72,1,930.3,1,680.8,1,641.3,1,1.2715597203063311,2.755684064774295,-0.008684773906248142,13.866185249488655,21023
NO_CHARGE,MORNING,WEEKEND,6.0,55,5.0,131,4.0,323,124.1,1,60.7,1,58.7,1,69.8,2,1.0,8,0.5,3985,47.45,1,4.75,1,4.58,1,995.3,1,900.3,1,786.8,1,1.2467961496838869,2.916493643916956,-9.751095820404833E-4,12.889717242410434,17557
DISPUTE,MORNING,WEEKEND,6.0,25,5.0,66,4.0,137,62.3,1,48.6,1,42.2,1,1.0,2,0.5,1048,0.0,4569,2.16,1,1.92,1,1.77,1,818.56,1,791.06,1,710.81,1,1.2589965397923875,3.1038177173442905,-0.018934256477751946,13.389313905709342,5780
CREDIT_CARD,NIGHT,WEEKDAY,192.0,1,9.0,27,8.0,32,325.28,1,211.6,2,168.77,1,18.0,2,17.5,1,4.5,378,496.0,1,441.71,1,441.11,1,506.57,1,500.3,2,499.8,3,1.5960748499738011,3.297027832028178,2.7595893636660227,17.77618436887436,8901112
CASH,NIGHT,WEEKDAY,9.0,8,8.0,10,7.0,11,910.8,1,176.4,1,166.53,1,25.0,1,15.55,1,12.05,1,2.75,1,1.6,1,1.38,1,3006.8,1,2000.8,1,1213.8,1,1.6446680360081813,2.7629412181928457,3.193200114344704E-6,13.15157510461856,3454215
CREDIT_CARD,AFTERNOON,WEEKEND,9.0,17,8.0,11,7.0,12,178.44,1,132.49,1,127.06,1,4.5,1,1.0,14155,0.8,1,411.5,1,411.0,1,355.5,1,498.3,1,493.96,1,493.8,1,1.640443352551307,3.005086785872791,2.6041622407834706,16.98227999066095,3803384
CASH,AFTERNOON,WEEKEND,9.0,4,8.0,3,7.0,3,301.9,1,164.62,1,130.46,1,81.92,1,4.8,1,1.5,1,2.05,1,2.0,2,1.8,1,349116.78,1,8016.8,1,4023.8,1,1.6906343282803735,2.5484004117741543,5.204541873046026E-6,12.96654700045266,1917556
NO_CHARGE,NIGHT,WEEKDAY,6.0,208,5.0,470,4.0,1109,252.1,1,121.7,1,87.5,1,60.0,1,4.5,1,3.3,1,11.44,1,11.0,1,8.71,1,8017.3,1,2000.8,1,1000.29,1,1.248645972424347,2.977515546937122,6.76038551281919E-4,13.154523239764151,66653
NO_CHARGE,AFTERNOON,WEEKEND,6.0,149,5.0,229,4.0,884,87.1,1,84.0,1,70.1,1,1.0,281,0.5,382,0.0,30039,7.92,1,5.41,1,3.5,1,984.3,1,880.3,1,818.56,1,1.3407011947003482,2.681581686008659,0.002764738197069607,12.539843012467854,30719
DISPUTE,NIGHT,WEEKDAY,8.0,2,6.0,129,5.0,197,64.2,1,63.5,1,55.7,1,4.5,2,1.0,58,0.5,12431,7.01,1,6.66,1,5.29,1,960.2,1,868.3,1,801.67,1,1.3050011088933244,3.09869865304114,-0.0014182744520047361,12.614818973164782,18036
DISPUTE,AFTERNOON,WEEKEND,6.0,60,5.0,87,4.0,250,52.0,1,40.7,1,36.1,1,1.0,25,0.5,82,0.0,8415,4.46,1,2.86,1,2.36,1,500.3,1,359.15,1,230.3,1,1.342991202346041,2.8224374541788855,-0.0066780059009003846,12.540603005865103,8525
CREDIT_CARD,NIGHT,WEEKEND,9.0,15,8.0,22,7.0,26,148.3,1,128.59,1,113.37,1,30.5,1,20.2,1,10.5,1,410.0,1,353.44,1,322.42,1,723.12,1,593.76,1,499.5,1,1.6595638780852544,3.071964643012428,2.5270744222003994,16.699653653552065,4020252
CASH,NIGHT,WEEKEND,9.0,3,8.0,5,7.0,5,1061.2,1,302.8,1,267.7,1,4.5,1,3.5,1,3.0,1,1.7,1,0.0,1715110,0.0,0,8019.6,1,953.67,1,950.3,1,1.6941684823897696,2.7496465243357426,9.91189519327738E-7,13.025576770249856,1715111
NO_CHARGE,NIGHT,WEEKEND,7.0,1,6.0,110,5.0,248,86.7,1,81.3,1,73.3,1,1.0,9,0.5,27007,0.11,1,8.78,1,4.02,1,3.76,1,3008.3,1,999.3,1,815.56,1,1.3028081975223478,2.837458187821563,-0.013777987858524835,12.4540164841482,34791
DISPUTE,NIGHT,WEEKEND,7.0,1,6.0,76,5.0,167,44.2,1,42.7,1,42.2,1,3.0,1,1.0,2,0.5,6933,11.22,1,4.25,1,4.0,1,1124.8,1,600.3,1,583.89,1,1.3728709214036527,2.915906205109789,-0.007118817694789449,11.979383368817977,9746
CREDIT_CARD,MORNING,WEEKDAY,9.0,24,8.0,19,7.0,29,833.1,1,213.44,1,204.54,1,26.0,1,17.5,1,9.46,1,422.0,1,415.0,1,400.0,1,684.35,1,600.44,1,514.3,1,1.5403001325814454,2.856456254934373,2.5820743945993465,16.846159010107634,8148199
CASH,MORNING,WEEKDAY,9.0,3,8.0,5,7.0,6,189483.84,1,943.5,1,547.2,1,18.0,1,4.5,46,4.0,1,2.0,1,1.3,1,1.25,1,234632.69,1,4026.3,1,2310.3,1,1.5738390656836232,2.4606653727232604,1.973116368405135E-6,12.603296272420126,3167578
NO_CHARGE,MORNING,WEEKDAY,6.0,170,5.0,402,4.0,707,189.6,1,152.9,1,119.3,1,19.0,1,1.0,33,0.5,6145,166.02,1,13.81,1,8.78,1,200006.3,1,6023.8,1,4010.3,1,1.1928459460990766,2.5014143916787854,0.006140059602053686,16.470697038659843,52949
